footprintWKT	coordinateUncertaintyInMeters
LINESTRING (-58.5065 -64.1285, -58.4982 -64.1265)	230.84321217038396
LINESTRING (-58.5065 -64.1285, -58.4982 -64.1265)	230.84321217038396
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-29.43061 -74.67467, -29.42842 -74.67446)	34.37709152955957
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-35.37029 -77.35897, -35.36416 -77.35763)	105.86055932343078
LINESTRING (-29.43061 -74.67467, -29.42842 -74.67446)	34.37709152955957
LINESTRING (-29.43061 -74.67467, -29.42842 -74.67446)	34.37709152955957
LINESTRING (-43.02674 -60.72161, -43.0365 -60.72048)	273.69558363680613
LINESTRING (-43.02674 -60.72161, -43.0365 -60.72048)	273.69558363680613
LINESTRING (-43.02674 -60.72161, -43.0365 -60.72048)	273.69558363680613
LINESTRING (-42.668 -53.40167, -42.6685 -53.39766667)	223.39263533385045
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-47.24287 -61.54156, -47.25104 -61.53843)	278.6045779230594
LINESTRING (-47.24287 -61.54156, -47.25104 -61.53843)	278.6045779230594
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-46.72335 -60.2135, -46.73315 -60.21577)	299.63891462026453
LINESTRING (-46.72335 -60.2135, -46.73315 -60.21577)	299.63891462026453
LINESTRING (-44.41916 -60.47629, -44.41866 -60.47186)	247.17871159440676
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-43.00013 -60.7273, -43.01131 -60.72709)	305.27552754370066
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	263.44592446265113
LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	263.44592446265113
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	280.1583719283958
LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	280.1583719283958
LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	280.1583719283958
LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	259.3423462263312
LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	259.3423462263312
LINESTRING (-44.71575 -60.4717, -44.72595 -60.47529)	344.50264243941507
LINESTRING (-42.49511 -60.6713, -42.50343 -60.67282)	242.6593347177891
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-58.5065 -64.1285, -58.4982 -64.1265)	230.84321217038396
LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	226.14579083887057
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-27.79659 -76.16936, -27.79802 -76.16887)	33.35146331532535
LINESTRING (-30.24534 -75.24344, -30.24715 -75.24473)	76.45852187746087
LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	443.06871604181526
LINESTRING (-55.911008 -64.02164, -55.92614 -64.02027)	377.73932216277143
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841
LINESTRING (-109.8865 -71.17818, -109.8948 -71.17885)	154.09400875245714
LINESTRING (-46.87778 -60.27279, -46.88613 -60.27043)	265.8387576428487
LINESTRING (-110.0133 -71.34072, -110.0133 -71.33794)	155.09408997637033
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
POINT ( -54.34 -54.11)	0
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841
LINESTRING (-10.587333 -70.84167, -10.57383333 -70.82866667)	766.4375684057026
LINESTRING (-42.97247 -60.73865, -42.98017 -60.73483)	299.01138164944416
LINESTRING (-46.92088 -61.53194, -46.92394 -61.53074)	105.33883114296994
LINESTRING (-42.97439 -60.7578, -42.98436 -60.75949)	287.6175836156751
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	443.06871604181526
LINESTRING (-44.70438 -60.45885, -44.71463 -60.45621)	318.06373215671624
LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	226.14579083887057
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.29184 -63.57517, -57.30586 -63.57668)	358.226977786898
LINESTRING (-10.601833 -70.844, -10.62566667 -70.855)	753.0528930392786
LINESTRING (-10.588 -70.84133, -10.56966667 -70.82866667)	782.2741703909799
LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	779.495905069391
LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	29.225631588621322
LINESTRING (-63.45611 -64.71298, -63.457 -64.7132)	24.507193725883955
LINESTRING (-63.4523 -64.7414, -63.4513 -64.7414)	23.81555380123982
LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	904.6958989745151
LINESTRING (-108.3187 -70.01998, -108.3134 -70.015)	295.6187006938122
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-29.43061 -74.67467, -29.42842 -74.67446)	34.37709152955957
LINESTRING (-10.601833 -70.844, -10.62566667 -70.855)	753.0528930392786
LINESTRING (-31.23803 -75.7406, -31.24128 -75.74176)	78.67218025994363
LINESTRING (-31.23803 -75.7406, -31.24128 -75.74176)	78.67218025994363
LINESTRING (-32.21768 -75.09095, -32.21767 -75.09233)	77.01743960022365
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	443.06871604181526
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-58.5065 -64.1285, -58.4982 -64.1265)	230.84321217038396
LINESTRING (-58.5065 -64.1285, -58.4982 -64.1265)	230.84321217038396
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-56.163 -54.53783, -56.14933333 -54.51116667)	1548.563838102465
LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	779.495905069391
LINESTRING (-10.542 -70.81383, -10.565 -70.82683333)	839.142904676054
LINESTRING (-10.601833 -70.844, -10.62566667 -70.855)	753.0528930392786
LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	779.495905069391
LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	779.495905069391
LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	779.495905069391
LINESTRING (-31.25064 -75.74505, -31.2538 -75.74617)	76.12465825450596
LINESTRING (-31.25064 -75.74505, -31.2538 -75.74617)	76.12465825450596
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.5018 -63.6159, -57.5086 -63.6168)	175.94725767510408
LINESTRING (-42.689833 -53.40367, -42.69416667 -53.4035)	144.42528119327181
LINESTRING (-42.689833 -53.40367, -42.69416667 -53.4035)	144.42528119327181
LINESTRING (-57.5018 -63.6159, -57.5086 -63.6168)	175.94725767510408
LINESTRING (-44.41916 -60.47629, -44.41866 -60.47186)	247.17871159440676
LINESTRING (-109.8865 -71.17818, -109.8948 -71.17885)	154.09400875245714
LINESTRING (-44.71575 -60.4717, -44.72595 -60.47529)	344.50264243941507
LINESTRING (-46.76719 -60.32237, -46.77263 -60.32624)	262.8060570384258
LINESTRING (-10.587833 -70.851, -10.58066667 -70.836)	847.0296390860129
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-29.43061 -74.67467, -29.42842 -74.67446)	34.37709152955957
LINESTRING (-58.42535 -63.98639, -58.41568 -63.99042)	326.3064547112464
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-63.456 -64.713, -63.457 -64.7132)	26.31850128332751
LINESTRING (-104.7579 -74.39603, -104.7537 -74.39847)	150.06538570309803
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-10.601833 -70.844, -10.62566667 -70.855)	753.0528930392786
